品種ｺｰﾄﾞ,品種名,品種名(送り状),ﾌﾘｶﾞﾅ,業者ｺｰﾄﾞ,ｸﾞﾙｰﾌﾟｺｰﾄﾞ,商品課税区分,標準単価,売上単価,標準原価,仕入原価,ﾛｲﾔﾘﾃｨ,階級ﾊﾟﾀｰﾝｺｰﾄﾞ,boxtype_from_variety,item,boxtype
20040,5　DIS　ｱｿｰﾄ　ｱﾅｽﾀｼｱ,DIS　アソート　アナスタシア,ｱｿｰﾄ ｱﾅｽﾀｼｱ,5,20,0,0,0,0,0,2,20,5,アソート,50
20042,5　DIS　ｱｿｰﾄ　ｱﾈｼｰ,DIS　アソート　アネシー,5 ｱｿｰﾄ ｱﾈｼｰ,5,20,0,0,0,0,0,2,20,5,アソート,50
20041,5　DIS　ｱｿｰﾄ　ｽﾊﾟｲﾀﾞｰ,DIS　アソート　スパイダー,5 ｱｿｰﾄ ｽﾊﾟｰﾀﾞｰ(ｲﾁﾘﾝ),4,20,0,0,0,0,0,2,20,5,アソート,50
20043,5　DIS　ｱｿｰﾄ　新花,DIS　アソート　新花,5 ｱｿｰﾄ ｼﾝｶ(ｲﾁﾘﾝ),4,20,0,0,0,0,0,1,20,5,アソート,50
15057,5　ｱｰｾﾅﾙ,アーセナル,5 ｱｰｾﾅﾙ,5,15,0,0,0,0,0,2,15,5,Disbud,50
15068,5　ｱｰｾﾅﾙ ﾚｯﾄﾞ,アーセナル レッド,5 ｱｰｾﾅﾂｱｰｾﾅﾙﾚｯﾄﾞ,5,15,0,0,0,0,0,2,15,5,Disbud,50
3310,5　ｱｸｲﾗ,アクイラ,5 ｱｸｲﾗ,1,3,0,0,0,0,0,2,3,5,スプレー,50
20011,5　ｱｿｰﾄ　EX(夏系),アソート　ＥＸ(夏系),5 ｱｿｰﾄ EX  ｴx(ﾅﾂｹｲ),4,20,0,0,0,0,0,2,20,5,アソート,50
20010,5　ｱｿｰﾄ　EX(秋系),アソート　ＥＸ(秋系),ｱｿｰﾄ EX,4,20,0,0,0,0,0,2.2,20,5,アソート,50
20003,5　ｱｿｰﾄ　SP(ｶﾞｯﾊﾞｰﾅ),アソート　ＳＰ(ガッバーナ),5 ｱｿｰﾄ SPｶﾞｯﾊﾞｰﾅ,4,20,0,0,0,0,0,2,20,5,アソート,50
20002,5　ｱｿｰﾄ　SP(ﾍﾞｽﾋﾞｵ),アソート　ＳＰ(ベスビオ),5 ｱｿｰﾄ sp(ｱｷｹｲ),4,20,0,0,0,0,0,1.92,20,5,アソート,50
20001,5　ｱｿｰﾄ　SP(八重咲),アソート　ＳＰ(八重咲),5 ｱｿｰﾛｱｿｰﾄ SP(ﾓﾅﾘｻﾞ),4,20,0,0,0,0,0,2.2,20,5,アソート,50
20027,5　ｱｿｰﾄ　ｱﾈｼｰ,アソート　アネシー,5 ｱｿｰﾄ ｱﾈｼｰ,5,20,0,0,0,0,0,2,20,5,アソート,50
20013,5　ｱｿｰﾄ　ｵﾘｼﾞﾅﾙ(夏系),アソート　オリジナル(夏系),5 ｱｿｰﾄ ｵﾘｼﾞﾅﾙ(ﾅﾂｹｲ),4,20,0,0,0,0,0,2,20,5,アソート,50
20012,5　ｱｿｰﾄ　ｵﾘｼﾞﾅﾙ(秋系),アソート　オリジナル(秋系),5 ｱｿｰﾄ ｵﾘｼﾞﾅﾙ,4,20,0,0,0,0,0,2,20,5,アソート,50
63111,5　ｱｿｰﾄ ｶﾗﾝｺｴ 35cmUP,アソート カランコエ 35cmUP,ﾊｺ ｱｿｰﾄｶﾗﾝｺｴ,4,63,0,0,0,0,0,0,63,5,カランコエ,50
